title,year,festival_link,mubi_link,justwatch_link,fallback_link
Pannbiff Pommes Chicken Teriyaki,2025,https://www.filmfestivalen.no/f/pannbiff-pommes-chicken-teriyaki/1058,,,
The Party's Over,2025,https://www.filmfestivalen.no/f/the-partys-over/1100,https://mubi.com/en/no/films/the-party-s-over-2024,,
Portrett av en forvirret far,2025,https://www.filmfestivalen.no/f/portrett-av-en-forvirret-far/1047,,,
Poter på snø,2025,https://www.filmfestivalen.no/f/poter-pa-sno/1059,,,
Promised Sky,2025,https://www.filmfestivalen.no/f/promised-sky/1124,https://mubi.com/en/no/films/marie-jolie,,
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write About a Serial Killer,2025,https://www.filmfestivalen.no/f/psycho-therapy-the-shallow-tale-of-a-writer-who-decided-to-write-about-a-serial-killer/1113,,,
Påfuglen,2025,https://www.filmfestivalen.no/f/pafuglen/1096,,,
Rebuilding,2025,https://www.filmfestivalen.no/f/rebuilding/1121,https://mubi.com/en/no/films/rebuilding-2025,,
Recast,2025,https://www.filmfestivalen.no/f/recast/1057,,,
Reedland,2025,https://www.filmfestivalen.no/f/reedland/1091,,,
Totto-chan: Den lille piken ved vinduet,2025,https://www.filmfestivalen.no/f/totto-chan-den-lille-piken-ved-vinduet/1072,https://mubi.com/en/us/films/totto-chan-the-little-girl-at-the-window,,
Tre fedre,2025,https://www.filmfestivalen.no/f/tre-fedre/1038,,,
Trolljegeren,2025,https://www.filmfestivalen.no/f/trolljegeren/1064,https://mubi.com/en/mx/films/the-troll-hunter,,
Under a Broken Wing,2025,https://www.filmfestivalen.no/f/under-a-broken-wing/1061,,,
Unge mødre,2025,https://www.filmfestivalen.no/f/unge-modre/1082,https://mubi.com/en/us/films/the-young-mothers-home,,
Verket,2025,https://www.filmfestivalen.no/f/verket/1048,,,
Welcome to the Moon,2025,https://www.filmfestivalen.no/f/welcome-to-the-moon/1097,,,
